transaction_id,product_id,customer_id,quantity,transaction_date,total_amount,product_id,product_name,category_id,supplier_id,price,stock_level,reorder_point,cost,category_id,category_name,custAmt_purchase,adjustment_id,product_id,adjustment_type,quantity_adjusted,adjustment_date,supplier_id,supplier_name,supplier_email
1016,1,7,2,11/16/2024,30,16,Widget P,101,1,15,50,10,8,101,home_decor,10,2016,1,replenishment,15,11/16/2024,16,HomePro Supplies,homepro@decor.com
1017,3,8,5,11/17/2024,105,17,Widget Q,103,3,35,20,8,20,103,clothes,33,2017,3,depletion,6,11/17/2024,17,Style Essentials,style.essentials@apparel.com
1018,2,9,3,11/18/2024,75,18,Widget R,102,4,25,30,7,12,102,electronics,25,2018,2,replenishment,12,11/18/2024,18,TechHub,techhub@supplychain.com
1019,5,6,4,11/19/2024,100,19,Widget S,115,5,25,15,4,18,115,kitchen_ware,17,2019,5,replenishment,25,11/19/2024,19,Kitchen Essentials,kitchenessentials@cookware.com
1020,4,2,2,11/20/2024,45,20,Widget T,114,7,22,20,6,15,114,toys,33,2020,4,depletion,8,11/20/2024,20,PlayLand Inc.,playland@kids.com
1021,6,4,1,11/21/2024,35,21,Widget U,113,6,15,30,8,10,113,camping_outdoor,50,2021,6,replenishment,15,11/21/2024,21,OutdoorPro Gear,outdoorpro@outdoor.com
1022,3,5,3,11/22/2024,105,22,Widget V,103,3,35,20,8,20,103,clothes,33,2022,3,depletion,5,11/22/2024,22,Fashion World,fashionworld@clothing.com
1023,2,7,5,11/23/2024,120,23,Widget W,102,2,24,30,8,12,102,electronics,25,2023,2,replenishment,18,11/23/2024,23,ElectroMax,electromax@electronics.com
1024,7,8,2,11/24/2024,48,24,Widget X,114,7,24,25,7,15,114,toys,40,2024,7,depletion,4,11/24/2024,24,FunTime Supplies,funtime@entertainment.com
1025,8,9,3,11/25/2024,150,25,Widget Y,115,5,50,15,5,35,115,kitchen_ware,55,2025,8,replenishment,20,11/25/2024,25,ChefSupply,chef.supply@kitchen.com
1026,1,4,3,11/26/2024,45,26,Widget Z,101,2,15,50,10,8,101,home_decor,10,2026,1,replenishment,10,11/26/2024,26,DecorWarehouse,decorwarehouse@example.com
1027,4,5,2,11/27/2024,70,27,Widget AA,114,7,35,25,6,20,114,toys,30,2027,4,depletion,5,11/27/2024,27,KidsHub,kidshub@play.com
1028,6,3,5,11/28/2024,160,28,Widget BB,113,6,32,60,20,18,113,camping_outdoor,50,2028,6,replenishment,25,11/28/2024,28,Outward Bound,outwardbound@outdoors.com
1029,7,6,1,11/29/2024,30,29,Widget CC,102,3,30,30,8,10,102,electronics,25,2029,7,depletion,4,11/29/2024,29,Techies Unlimited,techies@supplies.com
1030,8,2,2,11/30/2024,60,30,Widget DD,115,5,30,15,7,15,115,kitchen_ware,17,2030,8,replenishment,15,11/30/2024,30,Culinary Supplies,culinary@ware.com
1031,5,7,4,12/1/2024,100,31,Widget EE,103,1,25,20,6,14,103,clothes,40,2031,5,replenishment,10,12/1/2024,31,StyleFirst,stylefirst@apparel.com
1032,3,9,3,12/2/2024,60,32,Widget FF,106,2,20,30,8,12,106,bathroom_suppl,22,2032,3,depletion,6,12/2/2024,32,BathEssentials,bathessentials@supplies.com
1033,2,8,2,12/3/2024,44,33,Widget GG,102,4,22,30,5,18,102,electronics,25,2033,2,replenishment,12,12/3/2024,33,ElectroDepot,electrodepot@electronics.com
1034,4,1,5,12/4/2024,125,34,Widget HH,101,2,25,50,8,10,101,home_decor,35,2034,4,depletion,3,12/4/2024,34,HomeDecor Supply,homedecor@supplyco.com
1035,6,5,1,12/5/2024,20,35,Widget II,113,6,20,60,10,9,113,camping_outdoor,50,2035,6,replenishment,20,12/5/2024,35,GearPro,gearpro@outdoor.com
